action,info,state,reward,done
[-0.15 -0.15 -0.15 -0.15 -0.4  -0.15],3,"[ 0.36178165  0.5959072   0.07604821  0.71289923  0.25604538  0.58473468
  0.22277831  0.73681473  0.25723141  0.71845219  0.08043723  0.64123966
  0.02097291  0.12522139  0.05746128  0.22288155  0.47356112 -1.63425213
  0.02636094  0.23061379  0.11125371  0.26824775 -0.02590359 -1.5853798
  0.03632099  0.20409086 -0.01384087 -0.18974646  0.11872876 -1.06084966
  0.14820795  0.20766695  0.19086132  0.1631207   0.16805206  0.21189027
  1.30570573  1.29919102  1.29217491]",-0.0625299462781786,False
[-0.4  -0.4  -0.4  -0.4  -0.15 -0.15],3,"[ 0.12808973  0.64922313 -0.16449556  0.73146672 -0.04206551  0.69172558
 -0.05926146  0.71849446  0.05149617  0.74972124 -0.17139383  0.63709525
 -0.05655677 -0.20370666 -0.17539718 -0.12847435 -0.26206332  2.29710465
 -0.09824582 -0.35499645 -0.12528476 -0.07688128  0.37383482  2.33825713
 -0.07376143 -0.21831971 -0.01623442  0.22088519  0.07014652  1.41574405
  0.16107928  0.25094857  0.16725429  0.13378213  0.18100457  0.20454938
  1.30306074  1.29434814  1.29703264]",0.3453705732913394,False
[-0.4  -0.4  -0.4  -0.4  -0.15 -0.4 ],3,"[ 0.19851886  0.7377022   0.54439101 -0.34644502  0.26743245  0.61956564
  0.62656102 -0.38992255  0.16067941  0.60912024  0.56339206 -0.53455032
  0.14444866  0.04790659  0.00789962 -0.09150014 -0.06783169  1.49928927
  0.08834373  0.02519723 -0.06462956 -0.00873769  0.10860382  1.0412207
  0.17432528  0.04730441 -0.0650298   0.29503805  0.26438019  0.45899016
  0.19885682  0.15644313  0.20570169  0.26269292  0.16594151  0.17340934
  1.28916438  1.29977772  1.29436909]",0.1929867920738774,False
[-0.4  -0.4  -0.4  -0.4  -0.15 -0.4 ],3,"[ 0.65675485 -0.29110342  0.66825814 -0.19329494  0.6429123  -0.37889693
  0.66550928  0.01408162  0.48070508 -0.44878899  0.74162541 -0.13229822
 -0.21193585 -0.38540027 -0.02356222 -0.37705381 -0.63282483  2.25146613
 -0.12649942 -0.22952734  0.0188491  -0.1747891   0.11613417  2.35373748
 -0.148793   -0.2593411  -0.14836401  0.35496367 -0.09990701  1.88845497
  0.27946919  0.23830492  0.13821908  0.23994368  0.22852996  0.0911421
  1.27576169  1.28999025  1.3035671 ]",0.4319923079474453,False
[-0.4  -0.15 -0.15 -0.4  -0.4  -0.15],3,"[ 0.54166906  0.5164835   0.17523626  0.63963402  0.48426606  0.40455012
  0.29524582  0.71739493  0.46662513  0.63129803  0.22985363  0.57523134
 -0.04920864 -0.09497954  0.05604505 -0.02753933 -0.11424895  0.93282292
 -0.07165123 -0.12848519  0.03464747 -0.00646227  0.1831548   0.4908738
 -0.07485135 -0.13238889  0.05637453  0.05241234  0.03275911  0.27364962
  0.12170978  0.26404006  0.2906542   0.20642849  0.09415279  0.2656799
  1.29425673  1.30453746  1.27717844]",0.243761189802495,False
[-0.15 -0.15 -0.15 -0.15 -0.4  -0.15],3,"[-1.68423256e-03  7.49457187e-01  6.61339644e-01  3.06751238e-02
  4.94862407e-02  6.56703565e-01  7.50068276e-01 -6.07381329e-02
 -4.18023367e-03  6.96649328e-01  6.66265261e-01 -2.65994063e-01
 -1.90795057e-01 -1.31291081e-02 -4.96664972e-02  6.99934855e-02
  1.48554715e-01 -1.84394098e+00 -2.01108860e-01 -8.00796994e-03
  7.28635918e-02  7.39791429e-02 -1.97245806e-01 -1.48686163e+00
 -3.05161829e-01 -1.26019754e-02 -7.97463152e-03 -5.44229820e-01
  4.29115072e-02 -1.32654664e+00  2.27189412e-01  1.52100014e-01
  2.37799654e-01  2.78264794e-01  1.31630124e-01  1.63171268e-01
  1.28328364e+00  1.30228297e+00  1.29417389e+00]",-0.0890224125044009,False
[-0.15 -0.4  -0.4  -0.4  -0.15 -0.4 ],3,"[-4.76695143e-01  5.14375584e-01  7.06829127e-01 -9.25855497e-02
 -5.81730358e-01  3.28842644e-01  7.34098494e-01 -1.20630461e-01
 -5.64679037e-01  4.90331418e-01  6.27698757e-01 -2.16117922e-01
 -6.50239141e-04  4.37795246e-03 -4.61010466e-02 -5.62633536e-02
 -3.48933239e-02 -1.60356449e-02 -3.27705942e-03  1.18311987e-02
 -5.56049135e-02 -4.61187424e-02 -6.51328749e-02  2.59361234e-01
  1.42641826e-03 -3.35255358e-03 -5.55259531e-02  8.96175351e-02
  2.06228246e-02 -4.13163507e-01  1.42662300e-01  1.59671935e-01
  7.92975188e-02  2.14321904e-01  2.33576752e-01  1.29923166e-01
  1.30503726e+00  1.29874552e+00  1.30804899e+00]",0.0979952090170188,False
[-0.4  -0.15 -0.15 -0.4  -0.4  -0.15],3,"[ 0.55114566  0.48226976 -0.0446281   0.67945763  0.36945141  0.48860276
  0.16005623  0.77405103  0.51633454  0.6377956   0.17387559  0.54441042
 -0.03857676 -0.05982448 -0.00875952  0.23850495 -0.32835492 -0.43981353
 -0.00675554 -0.03889587  0.0332285   0.01100615  0.06343563  0.51051572
 -0.07803276 -0.0623602  -0.04178279  0.10096327 -0.06180486  0.21238999
  0.32710511  0.34813491  0.28643136  0.40455473  0.28895762  0.39814291
  1.23808029  1.24624923  1.24354391]",0.1614303573702888,False
[-0.4  -0.15 -0.4  -0.4  -0.15 -0.15],3,"[ 7.44768579e-01 -1.47594373e-01  6.49339007e-01 -4.35260818e-02
  6.63706194e-01 -2.56536034e-01  6.99323377e-01  6.80453286e-02
  6.44106662e-01 -1.82564933e-01  7.42480341e-01  2.27946772e-02
 -2.15455570e-02 -1.21676654e-01 -3.73038131e-03 -1.24427163e-01
  4.46520389e-02  9.46678506e-01 -1.95615552e-02 -5.41615435e-02
  5.70072082e-04  6.10326270e-02  2.09035811e-01  4.05746453e-01
 -1.82994280e-02 -9.44105138e-02 -5.28075736e-02  1.16533394e-01
  4.87926603e-02  6.09295957e-01  1.64866973e-01  1.53205617e-01
  6.59267653e-02  1.70194022e-01  2.44489069e-01  1.49844271e-01
  1.30283004e+00  1.30028554e+00  1.31274581e+00]",0.1800402605505079,False
[-0.4  -0.4  -0.15 -0.15 -0.4  -0.15],3,"[-2.40362389e-01  5.92821521e-01 -4.62160345e-01  6.14163156e-01
 -3.38160041e-01  6.96141854e-01 -3.46325305e-01  5.30182128e-01
 -2.57663992e-01  6.88746533e-01 -4.83585212e-01  4.74745008e-01
 -6.93649488e-04 -1.49103173e-02 -6.50684469e-02  8.51173586e-02
 -2.16460009e-02  4.34295874e-01 -9.75994810e-03 -2.71392286e-02
 -2.05649473e-02 -2.51213067e-02  1.92846483e-01  6.83616816e-01
 -1.72026424e-03 -4.62433392e-04 -2.26885537e-02 -5.02170057e-02
 -3.11298492e-02  6.66895858e-01  2.00024483e-01  2.46539289e-01
  1.68743904e-01  1.44604802e-01  1.86919814e-01  1.81522940e-01
  1.30043930e+00  1.29027881e+00  1.29845685e+00]",0.1314899241114615,False
